"Path","Folder","Extension","SizeKB","LastModified","ReviewNote"
"assets/CREDITS.md","assets",".md","7.1","2026-07-08 09:12:54","supporting asset"
"assets/REPORT.md","assets",".md","5.1","2026-07-07 19:31:54","supporting asset"
"assets/applications/bathroom-render.jpg","assets\applications",".jpg","184.6","2026-07-08 09:41:48","website visual; may be illustrative, check imageType and captions"
"assets/applications/bathroom-render.png","assets\applications",".png","2408.4","2026-06-29 11:52:38","website visual; may be illustrative, check imageType and captions"
"assets/applications/bathroom-render.webp","assets\applications",".webp","80.5","2026-07-08 09:41:48","website visual; may be illustrative, check imageType and captions"
"assets/applications/hospitality-render.jpg","assets\applications",".jpg","216.1","2026-07-08 09:41:48","website visual; may be illustrative, check imageType and captions"
"assets/applications/hospitality-render.png","assets\applications",".png","2164.8","2026-06-29 11:53:29","website visual; may be illustrative, check imageType and captions"
"assets/applications/hospitality-render.webp","assets\applications",".webp","108.8","2026-07-08 09:41:49","website visual; may be illustrative, check imageType and captions"
"assets/applications/hotel-bath-inspiration.jpg","assets\applications",".jpg","217.9","2026-07-08 09:41:49","website visual; may be illustrative, check imageType and captions"
"assets/applications/hotel-bath-inspiration.webp","assets\applications",".webp","103.1","2026-07-08 09:41:49","website visual; may be illustrative, check imageType and captions"
"assets/applications/hotel-lobby-inspiration.jpg","assets\applications",".jpg","324","2026-07-08 09:41:49","website visual; may be illustrative, check imageType and captions"
"assets/applications/hotel-lobby-inspiration.webp","assets\applications",".webp","245.4","2026-07-08 09:41:50","website visual; may be illustrative, check imageType and captions"
"assets/applications/kitchen-render.jpg","assets\applications",".jpg","165.2","2026-07-08 09:41:50","website visual; may be illustrative, check imageType and captions"
"assets/applications/kitchen-render.png","assets\applications",".png","2158.6","2026-06-29 11:51:50","website visual; may be illustrative, check imageType and captions"
"assets/applications/kitchen-render.webp","assets\applications",".webp","72.7","2026-07-08 09:41:50","website visual; may be illustrative, check imageType and captions"
"assets/applications/master-bath-inspiration.jpg","assets\applications",".jpg","223.9","2026-07-08 09:41:50","website visual; may be illustrative, check imageType and captions"
"assets/applications/master-bath-inspiration.webp","assets\applications",".webp","119.8","2026-07-08 09:41:51","website visual; may be illustrative, check imageType and captions"
"assets/applications/modern-kitchen-inspiration.jpg","assets\applications",".jpg","225.7","2026-07-08 09:41:51","website visual; may be illustrative, check imageType and captions"
"assets/applications/modern-kitchen-inspiration.webp","assets\applications",".webp","124.1","2026-07-08 09:41:51","website visual; may be illustrative, check imageType and captions"
"assets/applications/multifamily-bath-inspiration.jpg","assets\applications",".jpg","121.3","2026-07-08 09:41:51","website visual; may be illustrative, check imageType and captions"
"assets/applications/multifamily-bath-inspiration.webp","assets\applications",".webp","48","2026-07-08 09:41:52","website visual; may be illustrative, check imageType and captions"
"assets/applications/outdoor-terrace-table-inspiration.jpg","assets\applications",".jpg","354.5","2026-07-08 09:41:52","website visual; may be illustrative, check imageType and captions"
"assets/applications/outdoor-terrace-table-inspiration.webp","assets\applications",".webp","278.6","2026-07-08 09:41:52","website visual; may be illustrative, check imageType and captions"
"assets/applications/restaurant-counter-inspiration.jpg","assets\applications",".jpg","350.1","2026-07-08 09:41:52","website visual; may be illustrative, check imageType and captions"
"assets/applications/restaurant-counter-inspiration.webp","assets\applications",".webp","257","2026-07-08 09:41:53","website visual; may be illustrative, check imageType and captions"
"assets/applications/retail-showroom-inspiration.jpg","assets\applications",".jpg","300.6","2026-07-08 09:41:53","website visual; may be illustrative, check imageType and captions"
"assets/applications/retail-showroom-inspiration.webp","assets\applications",".webp","196.1","2026-07-08 09:41:54","website visual; may be illustrative, check imageType and captions"
"assets/brand/favicon.png","assets\brand",".png","1.3","2026-06-21 20:55:18","supporting asset"
"assets/brand/hero-stone-v2.jpg","assets\brand",".jpg","213.2","2026-07-08 09:41:54","supporting asset"
"assets/brand/hero-stone-v2.webp","assets\brand",".webp","116.5","2026-07-08 09:41:55","supporting asset"
"assets/brand/hero-stone.jpg","assets\brand",".jpg","77.8","2026-07-08 09:41:55","supporting asset"
"assets/brand/hero-stone.webp","assets\brand",".webp","35.9","2026-07-08 09:41:55","supporting asset"
"assets/brand/og-image.jpg","assets\brand",".jpg","66.8","2026-07-08 09:41:55","supporting asset"
